Ticker,Company,Theme(s),Thesis Snapshot,Key 2026 Catalysts,What Moves It (Triggers),Notes,Catalyst Path
CSGP,CoStar Group,3D Capture Exposure,Acquiring Matterport; digital twins for real estate workflows.,Deal close/integration; product bundling; upsell.,Regulatory approval; CRE cycle.,Optionality in built-world twins.,Deal close → Integrate capture → Bundle/upsell across CRE suite
ADSK,Autodesk,AEC / Digital Twin Ops,Tandem twins; OpenUSD participation; strong AEC base.,Construction cloud growth; twin adoption; pricing changes.,Macro in AEC; license/pricing transitions.,Quality AEC software.,Construction Cloud adoption → Twin ops → Price/mix optimization
TMV.DE,TeamViewer SE,AR Workflows / Remote Assist,Frontline platform with marquee references.,Fleet rollouts; hardware partnerships; module attach.,EUR FX; competitive AR software.,Smaller cap; Europe listing.,Device partnership → Frontline modules → Enterprise rollout
NICE,NICE Ltd.,Attended Automation / CCaaS,NEVA & contact-center automation; strong analytics.,Seat expansion; AI features; large logos.,Contact center spend; competition.,Mid-beta enterprise software.,Analytics → Attended automation → AI features → Seat expansion
MSFT,Microsoft,Azure Digital Twins / XR,Azure DT + HoloLens enterprise workflows; Power Platform links.,Partner solutions; field service integrations; XR momentum.,Cloud growth; device roadmap; competition.,Wide distribution advantages.,Azure DT pilot → Power Platform automation → Field service at scale
AQMS,Aqua Metals,Battery Recycling / Tech,AquaRefining process; commercial ramp watch.,Plant milestones; offtakes; policy incentives.,Scale-up risk; funding.,High beta/early stage.,Pilot → Offtake → Commercial ramp → Unit economics
PALI,Palisade Bio,Biotech (spec),GI-focused micro-cap; binary catalysts typical.,Clinical readouts; FDA interactions; financing.,Trial outcomes; cash runway; partnerships.,Treat as option-like.,Pre‑clinical → Clinical readout → Regulatory feedback → Financing/partner
PGEN,Precigen,Biotech (spec),Cell/gene therapy programs; catalyst-driven.,Clinical data; regulatory milestones; partnerships.,Data quality; funding; sector risk.,High volatility.,Phase data → Regulatory mtg → Path to pivotal → Partnering
AMZN,Amazon,Cloud Twins (AWS),IoT TwinMaker + analytics; reference wins.,Vertical twin solutions; partner momentum.,Cloud spend optimization; competition.,Platform enabler.,Reference arch → SI partner wins → Vertical blueprints → Land-and-expand
PHG,Philips,Connected Care / Monitoring,Patient monitoring & connected care; working through legacy issues.,Resolution of legacy matters; new monitoring wins; AI features.,Litigation/recall updates; EU demand; FX.,ADR; diversification benefits.,Legacy resolution → Renewed tenders → Platform wins → AI feature attach
RMD,ResMed,Connected Devices / Sleep,Cloud-connected CPAP ecosystem; large installed base data.,Device refreshes; reimbursement/coverage; adherence tools.,Recall/quality headlines (peers); payer changes; demand signals.,Sleep market exposure.,Device refresh → Coverage/adherence tools → Fleet replacements → Patient onboarding
IOT,Samsara,Connected Operations / Telemetry,Fleet & site IoT platform; productivity/safety outcomes.,Large enterprise wins; new SKUs; ARR growth.,SMB exposure; pricing; competition.,High-growth IoT SaaS.,Fleet POC → Site rollouts → Multi‑product attach → Net retention ↑
HON,Honeywell,Connected Worker / Industrial Software,Forge + Worker Assist; strong field & plant presence.,Large rollouts; AI copilots; safety KPIs.,Macro capex; portfolio mix; supply chain.,Blue-chip operator exposure.,Pilot → Corporate standard → AI copilot attach → KPI lift
CIFR,Cipher Mining,Crypto Infrastructure,Bitcoin miner; data center footprint optionality.,Hashrate growth; power contracts; hosting deals.,BTC price; power costs; halving.,Very high beta.,Power/PPA secured → Hashrate on‑line → Hosting/enterprise deals
HEXA-B.ST,Hexagon AB,Digital Realities / Sensing,Leica scanners + HxDR; strong industrial mapping.,Industrial demand; software mix; M&A.,Euro exposure; cyclical end markets.,Global geo/sensing leader.,Scanner win → Platform ingestion (HxDR) → Enterprise license
DASTY,Dassault Systèmes,Digital Twins / PLM / XR,3DEXPERIENCE virtual twin; design-to-service workflows; Vision Pro ties.,Large enterprise rollouts; life sciences twins; XR collabs.,License transition; aero/auto cycles; FX (EUR).,High-quality recurring software.,Pilot → Enterprise standardization → Digital thread expansion → Services attach
AKAM,Akamai,Edge / Connected Cloud,Massive footprint + security; enterprise edge workloads.,Security growth; compute expansion; M&A integration.,Price wars; migration to hyperscalers; traffic trends.,More defensive vs peers.,Security deal → Compute migration → Cross‑sell storage → Platform stickiness
QCOM,Qualcomm,Edge AI / Embedded / Auto,RB5/robotics & auto SoCs; expanding on-device AI.,Auto design wins; edge AI features; XR/IoT attach.,Android cycle; Apple/PC dynamics; auto backlog.,Diversified edge silicon.,Design win → SOP (start of production) → Content growth → Follow‑on platforms
FSLY,Fastly,Edge Compute,Compute@Edge (Wasm) for ultra-low-latency apps.,Large logo wins; security attach; margin progress.,Customer concentration; churn; competitive moves (NET/AKAM).,Higher beta CDN/edge play.,Logo win → Security attach → Traffic growth → Gross‑margin expansion
NET,Cloudflare,Edge Compute / Edge AI,Workers & Workers AI enable global low-latency compute/inference.,New AI/vector features; enterprise adoption; usage-based expansion.,Outage/perf incidents; price changes; hyperscaler competition.,High-growth infra; valuation sensitive.,Feature launch → POCs → Enterprise rollout → Usage/ARPU expansion
HPE,HPE,Edge Networking / SSE,Aruba ESP/SASE; secure managed edge for enterprises.,ARR growth; NaaS adoption; AI networking upgrades.,Hyperscaler pressure; comp pricing; macro IT budgets.,Value + networking angle.,NaaS win → ARR ramp → AI networking refresh → Upsell SASE
NVDA,NVIDIA,Edge/Industrial Sim / GPUs,Omniverse + Jetson for edge AI/robots; dominant AI silicon.,New platform launches; industrial/digital twin partnerships.,Datacenter cycle; export rules; competitor roadmaps (AMD/QCOM).,Core compute beneficiary.,Platform launch → ISV/OEM partnerships → Volume shipments → Ecosystem lock‑in
AMT,American Tower,Edge/near-edge Infra (REIT),Towers + edge/colo exposure; AI data demand optionality.,Leasing trends; data/edge initiatives; carrier capex.,Rates; tenant consolidation; FX/EM.,Yield + optionality.,5G/AI leasing ↑ → Edge/colo pilots → Incremental tenancy → AFFO growth
ZBRA,Zebra Technologies,Frontline Devices / Vision,"Wearables, scanners, robotics/vision via acquisitions.",Retail/warehouse demand; vision attach; software ARR.,Retail cycles; competition; supply constraints.,Operating leverage in upcycles.,Hardware refresh → Vision/robotics attach → Software ARR
GEHC,GE HealthCare,Healthcare IoT / Monitoring,Enterprise patient monitoring + imaging AI; scale & channels.,Platform wins; AI workflow attach; service revenue growth.,Hospital budget cycles; supply chain; regulatory news.,Diversified diagnostics/monitoring.,Platform selection → AI workflow attach → Service revenue expansion
MASI,Masimo,Healthcare IoT / Monitoring,Patient monitoring + hospital-to-home solutions; connected platforms.,Enterprise contracts; home monitoring expansions; legal/strategy updates.,Hospital capex trends; product launches; pricing moves.,Monitoring-weighted; medium beta.,Enterprise win → Fleet rollout → Home monitoring attach → Cross‑sell platform
ABT,Abbott Laboratories,Healthcare IoT / RPM,FreeStyle Libre CGM + broad connected-care ecosystem; diversified med-tech.,"Libre feature upgrades, EU/US coverage gains, diabetes share data.",Regulatory/recall headlines; pricing/coverage; diabetes market growth.,Diversified buffer vs RPM volatility.,Feature upgrade → Regulatory/clearance → Coverage decisions → Market share updates
DXCM,Dexcom,Healthcare IoT / RPM,CGM leader (G7) with payer coverage & scale; recurring razor/razorblade.,"New CGM indications, payer coverage expansions, hardware refreshes, international rollouts.",FDA/coverage updates; competitor launches (ABT); earnings units/guidance.,Core quality name; steadier vs small caps.,Clinical data → FDA clearance/label → Payer coverage (CMS/commercial) → Device launch & distrib → International expansion
IRTC,iRhythm Technologies,Healthcare IoT / RPM,Zio cardiac patch; reimbursement & clinical data drive growth.,CPT/coverage updates; new indications; AI analysis improvements.,Medicare/private payer changes; competitive patches; hospital adoption.,Pure RPM exposure.,CPT code clarity → Coverage (MACs/Commercial) → Provider adoption → AI analytics upgrades
SENS,Senseonics,Healthcare IoT / RPM,Implantable CGM (Eversense 365); small-cap RPM beta.,US commercial ramp/partner wins; sensor longevity improvements.,Coverage wins/losses; partner distribution; financing runway.,High volatility; position size carefully.,Longevity data → FDA labeling → Payer coverage → US partner ramp
SIEGY,Siemens AG (ADR),Industrial Metaverse / PLM/MES,Xcelerator + Omniverse stack; vast installed base.,Customer case studies at scale; software growth; services attach.,Macro capex; FX (EUR); portfolio actions.,Industrial software + hardware leverage.,Reference deployment → Cross‑site replication → Services/consulting attach
NXPI,NXP Semiconductors,Industrial/Auto Edge,MCUs/SoCs for auto & industrial; power-efficient edge control.,Auto content growth; industrial demand; partnerships (NPUs).,Cycle risk; pricing; China exposure.,Quality cyclical; dividend/buyback.,Auto backlog → Content per vehicle ↑ → Industrial recovery → Mix/price
BSY,Bentley Systems,Infrastructure Twins (AEC),iTwin for roads/rails/utilities; deep ecosystem partnerships.,DOT/rail/utilities awards; SaaS mix; partner wins (Omniverse).,Public infrastructure timing; project delays.,Durable infra software play.,RFP/award → Pilot lines → State/agency rollout → Multi‑year SaaS
IQV,IQVIA,Life Sciences Services,CRO/data for pharma; not directly linked to QTS.,Booking trends; AI tools; M&A.,Biopharma budgets; competition.,Defensive CRO exposure.,Bookings ↑ → Backlog convert → Margin expansion → Data/AI attach
APPN,Appian,Low-code + RPA,Low-code process + embedded RPA; Gov/regulated wins.,GTM with partners; FedRAMP deals; AI features.,Competition; sales efficiency.,Higher beta low-code.,Fed/regulated win → Partner delivery → Low‑code + RPA expansion
ROK,Rockwell Automation,MES / Connected Worker,FactoryTalk & Plex Connected Worker in MES stack.,SaaS bookings; digital thread wins; partner deals.,Discrete mfg cycles; channel trends.,High-quality industrial software.,MES/Plex consolidation → Connected worker rollout → Analytics KPIs
PTC,PTC,PLM/IoT / Connected Worker,Windchill + ThingWorx + Vuforia; strong digital thread story.,SaaS transition progress; large logos; AR use cases.,Macro in discrete mfg; channel strength; FX.,Core enterprise software.,SaaS migration → PLM consolidation → AR work‑instructions → Connected worker scale
PATH,UiPath,RPA / AI Agents,Leader in automation/orchestration; expanding AI-native features.,Large enterprise deals; platform launches; partner ecosystem.,Pricing/model shifts; comp from suites.,Core pure-play RPA.,Task mining → Bot deployment → AI/agent orchestration → Enterprise-wide scale
SSNC,SS&C Technologies,RPA via Blue Prism,Deep fin/healthcare customer base; cross-sell automation.,Vertical wins; margin expansion; M&A synergies.,Integration risk; macro in FS clients.,Value + automation exposure.,Blue Prism cross‑sell → Process library standardization → Margin expansion
U,Unity Software,Real-time 3D / Twins,Unity Industry targets manufacturing/robotics twins.,Case studies; new pricing; enterprise penetration.,Game market cyclicality; pricing pushback.,Higher beta; enterprise pivot.,Industry SKU adoption → Enterprise penetration → Services/partner ecosystem
TRMB,Trimble,Reality Capture / Construction,Positioning + construction tech feeding twins.,Civil/infra awards; autonomy/robotics tie-ins.,Construction cycles; hardware margins.,Leverage to infra spend.,Hardware sale → SW workflow attach → Fleet standardization
AMBA,Ambarella,Vision SoCs / Edge AI,Camera/auto vision silicon; pushing GenAI features at the edge.,Auto ADAS wins; security/camera demand; new AI SKUs.,Consumer softness; China; customer concentration.,"Higher beta, leveraged to vision.",ADAS/vision win → Ramp with OEMs → New AI SKU attach → Share gains
ARIS,Aris Water Solutions,Water/Infra,Produced water recycling for energy basins.,Volume growth; contracts; regulatory policy.,Commodity activity; execution.,Yield + ESG angle.,Contract award → Recycling volume ↑ → Basin expansions
WTTR,Select Water Solutions,Water/Infra,Water services for energy/critical minerals theme.,Contract wins; pricing; M&A; policy tailwinds.,Commodity cycles; regional demand.,Cash flow + policy optionality.,Contract award → Volume ramp → Policy incentives → FCF
NOW,ServiceNow,Workflow + RPA,Now Platform with embedded RPA & AI; broad distribution.,Release waves; large deals; partner builds.,IT budget cycles; platform competition.,Suite advantage.,Module land → Platform upsell → RPA/AI attach → Enterprise standard
PEGA,Pegasystems,Workflow/RPA / Low-code,End-to-end orchestration; AWS AI partnership.,Modernization deals; cloud mix; genAI features.,Sales cycles; execution history.,Event-driven re-rating potential.,Modernize/core → Cloud migration → AI features → NRR uplift
AAPL,Apple,XR Devices (Enterprise),Vision Pro enterprise pilots for design/training.,New headset updates; enterprise case studies.,Device cadence; price/perf; developer traction.,Hardware-led XR angle.,HW roadmap → Enterprise pilot → Vertical apps → Broader deployment
META,Meta Platforms,XR Devices/Platform,Cost-down XR devices; enterprise/consumer mix.,New hardware; enterprise partnerships.,Ad market cyclicality; XR losses.,Optionality in XR adoption.,Cost-down SKU → Enterprise partnerships → Installed base growth
