Ticker,Company,Theme(s),Thesis Snapshot,Key 2026 Catalysts,What Moves It (Triggers),Notes,Catalyst Path,Date analyzed
IONQ,"IonQ, Inc.",Quantum computing ,Trapped‑ion quantum leader; highest algorithmic qubit fidelity with commercial cloud access and US gov traction.,"New system launches (AQ systems), capacity adds on AWS/Azure, multi‑year government contracts, revenue inflection toward profitability.","Backlog/bookings growth, algorithmic‑qubit and error‑rate milestones, major cloud integrations, US/EU grants.",,AFRL/QBI awards & perf milestones; trade earnings-adjacent catalysts with straddles/strangles where borrow tight.,4-Oct
RGTI,"Rigetti Computing, Inc.",Quantum computing ,Superconducting‑qubit QPU vendor focused on hybrid workflows; levered to government and enterprise pilots.,"128+ qubit generations with better coherence, govt/defense awards, cloud marketplace distribution, fab partnerships.","Benchmark wins vs peers, new QPU availability on AWS/Azure, contract announcements, cash runway updates.",,AFRL/QBI awards & perf milestones; trade earnings-adjacent catalysts with straddles/strangles where borrow tight.,4-Oct
CSGP,CoStar Group,3D Capture Exposure,Acquiring Matterport; digital twins for real estate workflows.,Deal close/integration; product bundling; upsell.,Regulatory approval; CRE cycle.,Optionality in built-world twins.,Deal close → Integrate capture → Bundle/upsell across CRE suite,29-Oct
ADSK,Autodesk,AEC / Digital Twin Ops,Tandem twins; OpenUSD participation; strong AEC base.,Construction cloud growth; twin adoption; pricing changes.,Macro in AEC; license/pricing transitions.,Quality AEC software.,Construction Cloud adoption → Twin ops → Price/mix optimization,29-Oct
TMV.DE,TeamViewer SE,AR Workflows / Remote Assist,Frontline platform with marquee references.,Fleet rollouts; hardware partnerships; module attach.,EUR FX; competitive AR software.,Smaller cap; Europe listing.,Device partnership → Frontline modules → Enterprise rollout,29-Oct
NICE,NICE Ltd.,Attended Automation / CCaaS,NEVA & contact-center automation; strong analytics.,Seat expansion; AI features; large logos.,Contact center spend; competition.,Mid-beta enterprise software.,Analytics → Attended automation → AI features → Seat expansion,29-Oct
MSFT,Microsoft,Azure Digital Twins / XR,Azure DT + HoloLens enterprise workflows; Power Platform links.,Partner solutions; field service integrations; XR momentum.,Cloud growth; device roadmap; competition.,Wide distribution advantages.,Azure DT pilot → Power Platform automation → Field service at scale,29-Oct
AQMS,Aqua Metals,Battery Recycling / Tech,AquaRefining process; commercial ramp watch.,Plant milestones; offtakes; policy incentives.,Scale-up risk; funding.,High beta/early stage.,Pilot → Offtake → Commercial ramp → Unit economics,29-Oct
PLUG,Plug Power Inc.,Biofuels / SAF under 45Z,Vertically integrated green‑hydrogen supplier/electrolyzer OEM with optionality as SAF feedstock enabler.,"DOE loan milestones, electrolyzer factory utilization, LH plants on‑line, multi‑year supply to SAF producers.","Liquidity/margin updates, large orders, policy (45V/45Z), commissioning dates.",,Multi-MW electrolyzer awards + DOE loan; favor diagonal call spreads into award windows.,4-Oct
GEVO,"Gevo, Inc.",Biofuels / SAF under 45Z,SAF developer; Net‑Zero projects lever 45Z/LCFS; offtakes with airlines provide demand visibility.,"Net Zero 1 FID/financing, EPC notice‑to‑proceed, additional offtakes and feedstock contracts.","45Z/LCFS rulemaking, project finance close, construction milestones, partner announcements.",,Treasury/IRS operationalized 45Z (45ZCF-GREET); push to finalize import RIN reductions; potential 45Z extension + NA feedstock ring-fencing ? producer registrations ? pathway certifications ? SAF ramps.,4-Oct
PALI,Palisade Bio,Biotech (spec),GI-focused micro-cap; binary catalysts typical.,Clinical readouts; FDA interactions; financing.,Trial outcomes; cash runway; partnerships.,Treat as option-like.,Pre-clinical → Clinical readout → Regulatory feedback → Financing/partner,29-Oct
PGEN,Precigen,Biotech (spec),Cell/gene therapy programs; catalyst-driven.,Clinical data; regulatory milestones; partnerships.,Data quality; funding; sector risk.,High volatility.,Phase data → Regulatory mtg → Path to pivotal → Partnering,29-Oct
AMZN,Amazon,Cloud Twins (AWS),IoT TwinMaker + analytics; reference wins.,Vertical twin solutions; partner momentum.,Cloud spend optimization; competition.,Platform enabler.,Reference arch → SI partner wins → Vertical blueprints → Land-and-expand,29-Oct
PHG,Philips,Connected Care / Monitoring,Patient monitoring & connected care; working through legacy issues.,Resolution of legacy matters; new monitoring wins; AI features.,Litigation/recall updates; EU demand; FX.,ADR; diversification benefits.,Legacy resolution → Renewed tenders → Platform wins → AI feature attach,29-Oct
RMD,ResMed,Connected Devices / Sleep,Cloud-connected CPAP ecosystem; large installed base data.,Device refreshes; reimbursement/coverage; adherence tools.,Recall/quality headlines (peers); payer changes; demand signals.,Sleep market exposure.,Device refresh → Coverage/adherence tools → Fleet replacements → Patient onboarding,29-Oct
IOT,Samsara,Connected Operations / Telemetry,Fleet & site IoT platform; productivity/safety outcomes.,Large enterprise wins; new SKUs; ARR growth.,SMB exposure; pricing; competition.,High-growth IoT SaaS.,Fleet POC → Site rollouts → Multi-product attach → Net retention ↑,29-Oct
HON,Honeywell,Connected Worker / Industrial Software,Forge + Worker Assist; strong field & plant presence.,Large rollouts; AI copilots; safety KPIs.,Macro capex; portfolio mix; supply chain.,Blue-chip operator exposure.,Pilot → Corporate standard → AI copilot attach → KPI lift,29-Oct
GM,General Motors Company,Critical minerals / domestic battery supply,Ultium platform scaling; investing in domestic cathode/anode and critical materials for IRA compliance.,"Ultium cell ramps, domestic supply agreements, EV lineup refresh, battery cost declines.","EV demand/price, labor/recall headlines, IRA content rules, supplier milestones.",,DOE’s $435M Thacker Pass loan draw with 5% equity signal—a policy shift to equity-backed strategic minerals.,4-Oct
LAC,Lithium Americas Corp.,Critical minerals / domestic battery supply,Thacker Pass clay lithium project with strategic US financing/loan support; multi‑decade resource.,"Loan draws, EPC progress, phase‑1 commissioning schedule, offtake expansions.","Lithium prices, permitting/legal updates, construction photos/milestones, gov funding.",,First loan-draw close targeted Dec 2025 ? build 2–3 weeks pre-12/31. Setups: long equity; or Dec/Jan call calendars to capture announcement vol.,4-Oct
MP,MP Materials Corp.,Critical minerals / domestic battery supply,Integrated rare‑earths (Mountain Pass) expanding into separation and US magnet production.,"NdPr separation full run‑rate, US magnet facility ramp, DoD/auto offtakes.","NdPr pricing, policy support, contract awards, capex cadence.",,DOE’s $435M Thacker Pass loan draw with 5% equity signal—a policy shift to equity-backed strategic minerals.,4-Oct
CIFR,Cipher Mining,Crypto Infrastructure,Bitcoin miner; data center footprint optionality.,Hashrate growth; power contracts; hosting deals.,BTC price; power costs; halving.,Very high beta.,Power/PPA secured → Hashrate on-line → Hosting/enterprise deals,29-Oct
ETN,Eaton Corporation plc,Data-center power & thermal ecosystems,Power distribution & UPS leader levered to AI data‑center buildout and grid hardening.,"Transformer capacity expansion, liquid‑cooling portfolio, large DC awards, price/mix tailwinds.","Order growth/book‑to‑bill, lead‑time trends, hyperscaler capex guides, margin expansion.",,Streamlined federal permitting + transformer & gas-turbine backlogs ? scarcity pricing; liquid-cooling and district cooling scale.,4-Oct
SBGSY,Schneider Electric SE (ADR),Data-center power & thermal ecosystems,Global electrification & data‑center vendor (Schneider) with end‑to‑end power/thermal stack.,"EcoStruxure DC wins, services mix, MV switchgear/transformer expansions, AI cooling launches.","Hyperscaler orders, service attach, Europe macro/FX, margin cadence.",,Streamlined federal permitting + transformer & gas-turbine backlogs ? scarcity pricing; liquid-cooling and district cooling scale.,4-Oct
VRT,Vertiv Holdings Co,Data-center power & thermal ecosystems,Pure‑play data‑center thermal & power infrastructure; biggest beneficiary of AI racks density.,"Liquid‑cooling deployments at scale, backlog conversion, capacity debottlenecks.","Hyperscaler awards, lead‑time/pricing, margins, acquisitions.",,Streamlined federal permitting + transformer & gas-turbine backlogs ? scarcity pricing; liquid-cooling and district cooling scale.,4-Oct
ATI,ATI Inc.,Defense & space-nuclear,Specialty alloys & titanium for aero/defense/nuclear; pricing power with tight supply.,"Engine build‑rate increases, defense/nuclear contracts, capacity expansions.","Airframe/engine production guides, alloy surcharges, long‑term agreements.",,Treasury/IRS operationalized 45Z (45ZCF-GREET); push to finalize import RIN reductions; potential 45Z extension + NA feedstock ring-fencing ? producer registrations ? pathway certifications ? SAF ramps.,4-Oct
HWM,Howmet Aerospace Inc.,Defense & space-nuclear,Aero engine components & fasteners with structural share in LEAP/GE9X; defense exposure.,"Narrow‑body build‑rate recovery, new engine platforms, pricing on fasteners.","OEM schedules, titanium/nickel costs pass‑through, content per engine.",,NNSA $1.6B HPDU program + air/missile-defense radars moving through test/early production.,4-Oct
LHX,"L3Harris Technologies, Inc.",Defense & space-nuclear,Defense electronics/communications with ISR/space and tactical comms portfolio.,"DoD budget growth, space/ISR wins, comms modernization programs.","Program awards/protests, budget marks, M&A/portfolio moves.",,NNSA $1.6B HPDU program + air/missile-defense radars moving through test/early production.,4-Oct
HEXA-B.ST,Hexagon AB,Digital Realities / Sensing,Leica scanners + HxDR; strong industrial mapping.,Industrial demand; software mix; M&A.,Euro exposure; cyclical end markets.,Global geo/sensing leader.,Scanner win → Platform ingestion (HxDR) → Enterprise license,29-Oct
DASTY,Dassault Systèmes,Digital Twins / PLM / XR,3DEXPERIENCE virtual twin; design-to-service workflows; Vision Pro ties.,Large enterprise rollouts; life sciences twins; XR collabs.,License transition; aero/auto cycles; FX (EUR).,High-quality recurring software.,Pilot → Enterprise standardization → Digital thread expansion → Services attach,29-Oct
BWXT,"BWX Technologies, Inc.",Domestic uranium / HALEU fuel cycle,"Nuclear components & fuels; sole‑source niches (naval reactors, medical isotopes) plus HALEU.","HPDU milestones, medical isotope ramp (Tc‑99m), HALEU fuel contracts.","DOE/NNSA announcements, program timing, isotope ASPs/margins.",,HPDU execution milestones into mid-Nov ? accumulate ~Nov 15; optionality via call spreads.,4-Oct
LEU,Centrus Energy Corp.,Domestic uranium / HALEU fuel cycle,US enrichment player positioned for HALEU supply into advanced reactors.,"DOE offtake options, Ohio enrichment ramp, additional utility contracts.","HALEU tenders/awards, enrichment pricing, Russia supply reshoring policy.",,Next HALEU contract options + Ohio expansion; trade the anticipation curve + borrow scarcity.,4-Oct
AKAM,Akamai,Edge / Connected Cloud,Massive footprint + security; enterprise edge workloads.,Security growth; compute expansion; M&A integration.,Price wars; migration to hyperscalers; traffic trends.,More defensive vs peers.,Security deal → Compute migration → Cross-sell storage → Platform stickiness,29-Oct
QCOM,Qualcomm,Edge AI / Embedded / Auto,RB5/robotics & auto SoCs; expanding on-device AI.,Auto design wins; edge AI features; XR/IoT attach.,Android cycle; Apple/PC dynamics; auto backlog.,Diversified edge silicon.,Design win → SOP (start of production) → Content growth → Follow-on platforms,29-Oct
FSLY,Fastly,Edge Compute,Compute@Edge (Wasm) for ultra-low-latency apps.,Large logo wins; security attach; margin progress.,Customer concentration; churn; competitive moves (NET/AKAM).,Higher beta CDN/edge play.,Logo win → Security attach → Traffic growth → Gross-margin expansion,29-Oct
NET,Cloudflare,Edge Compute / Edge AI,Workers & Workers AI enable global low-latency compute/inference.,New AI/vector features; enterprise adoption; usage-based expansion.,Outage/perf incidents; price changes; hyperscaler competition.,High-growth infra; valuation sensitive.,Feature launch → POCs → Enterprise rollout → Usage/ARPU expansion,29-Oct
HPE,HPE,Edge Networking / SSE,Aruba ESP/SASE; secure managed edge for enterprises.,ARR growth; NaaS adoption; AI networking upgrades.,Hyperscaler pressure; comp pricing; macro IT budgets.,Value + networking angle.,NaaS win → ARR ramp → AI networking refresh → Upsell SASE,29-Oct
NVDA,NVIDIA,Edge/Industrial Sim / GPUs,Omniverse + Jetson for edge AI/robots; dominant AI silicon.,New platform launches; industrial/digital twin partnerships.,Datacenter cycle; export rules; competitor roadmaps (AMD/QCOM).,Core compute beneficiary.,Platform launch → ISV/OEM partnerships → Volume shipments → Ecosystem lock-in,29-Oct
AMT,American Tower,Edge/near-edge Infra (REIT),Towers + edge/colo exposure; AI data demand optionality.,Leasing trends; data/edge initiatives; carrier capex.,Rates; tenant consolidation; FX/EM.,Yield + optionality.,5G/AI leasing ↑ → Edge/colo pilots → Incremental tenancy → AFFO growth,29-Oct
ZBRA,Zebra Technologies,Frontline Devices / Vision,"Wearables, scanners, robotics/vision via acquisitions.",Retail/warehouse demand; vision attach; software ARR.,Retail cycles; competition; supply constraints.,Operating leverage in upcycles.,Hardware refresh → Vision/robotics attach → Software ARR,29-Oct
DUK,Duke Energy Corporation,Grid transmission & advanced power electronics,Regulated utility with outsized exposure to Southeast transmission build and renewables.,"Long‑term transmission plans (Order 1920), rate cases, renewables/storage adds.","Allowed ROE, capex plans, storm events, regulatory outcomes.",,"Catalyst path: FERC Order 1920 (regional long-term planning/cost allocation) + Order 2023 (interconnection) push utilities into filings by Dec 12, 2025, forcing multi-GW corridors (HV lines, STATCOM/VSC, advanced conductors).",4-Oct
MYRG,MYR Group Inc.,Grid transmission & advanced power electronics,Electrical contractor focused on transmission/distribution construction; prime beneficiary of LRTP.,"Multi‑GW corridor awards, labor/productivity, geographic expansions.","Backlog wins, margin profile on fixed‑bid jobs, utility capex cadence.",,"Catalyst path: FERC Order 1920 (regional long-term planning/cost allocation) + Order 2023 (interconnection) push utilities into filings by Dec 12, 2025, forcing multi-GW corridors (HV lines, STATCOM/VSC, advanced conductors).",4-Oct
PWR,"Quanta Services, Inc.",Grid transmission & advanced power electronics,Largest T&D/EPC contractor in North America with scale for mega‑corridors and HVDC.,"HVDC/long‑lead awards post filings, interconnect queue work, AI DC site work.","Backlog, book‑to‑bill, labor availability, weather/claims.",,“Speed-to-Power” conversions post Dec 12 filings ? enter ~Nov 25 ahead of utility templates. Pair vs XLU for alpha.,4-Oct
GEHC,GE HealthCare,Healthcare IoT ,Enterprise patient monitoring + imaging AI; scale & channels.,Platform wins; AI workflow attach; service revenue growth.,Hospital budget cycles; supply chain; regulatory news.,Diversified diagnostics/monitoring.,Platform selection → AI workflow attach → Service revenue expansion,29-Oct
MASI,Masimo,Healthcare IoT ,Patient monitoring + hospital-to-home solutions; connected platforms.,Enterprise contracts; home monitoring expansions; legal/strategy updates.,Hospital capex trends; product launches; pricing moves.,Monitoring-weighted; medium beta.,Enterprise win → Fleet rollout → Home monitoring attach → Cross-sell platform,29-Oct
ABT,Abbott Laboratories,Healthcare IoT ,FreeStyle Libre CGM + broad connected-care ecosystem; diversified med-tech.,"Libre feature upgrades, EU/US coverage gains, diabetes share data.",Regulatory/recall headlines; pricing/coverage; diabetes market growth.,Diversified buffer vs RPM volatility.,Feature upgrade → Regulatory/clearance → Coverage decisions → Market share updates,29-Oct
DXCM,Dexcom,Healthcare IoT ,CGM leader (G7) with payer coverage & scale; recurring razor/razorblade.,"New CGM indications, payer coverage expansions, hardware refreshes, international rollouts.",FDA/coverage updates; competitor launches (ABT); earnings units/guidance.,Core quality name; steadier vs small caps.,Clinical data → FDA clearance/label → Payer coverage (CMS/commercial) → Device launch & distrib → International expansion,29-Oct
IRTC,iRhythm Technologies,Healthcare IoT ,Zio cardiac patch; reimbursement & clinical data drive growth.,CPT/coverage updates; new indications; AI analysis improvements.,Medicare/private payer changes; competitive patches; hospital adoption.,Pure RPM exposure.,CPT code clarity → Coverage (MACs/Commercial) → Provider adoption → AI analytics upgrades,29-Oct
SENS,Senseonics,Healthcare IoT ,Implantable CGM (Eversense 365); small-cap RPM beta.,US commercial ramp/partner wins; sensor longevity improvements.,Coverage wins/losses; partner distribution; financing runway.,High volatility; position size carefully.,Longevity data → FDA labeling → Payer coverage → US partner ramp,29-Oct
SIEGY,Siemens AG (ADR),Industrial Metaverse / PLM/MES,Xcelerator + Omniverse stack; vast installed base.,Customer case studies at scale; software growth; services attach.,Macro capex; FX (EUR); portfolio actions.,Industrial software + hardware leverage.,Reference deployment → Cross-site replication → Services/consulting attach,29-Oct
NXPI,NXP Semiconductors,Industrial/Auto Edge,MCUs/SoCs for auto & industrial; power-efficient edge control.,Auto content growth; industrial demand; partnerships (NPUs).,Cycle risk; pricing; China exposure.,Quality cyclical; dividend/buyback.,Auto backlog → Content per vehicle ↑ → Industrial recovery → Mix/price,29-Oct
BSY,Bentley Systems,Infrastructure Twins (AEC),iTwin for roads/rails/utilities; deep ecosystem partnerships.,DOT/rail/utilities awards; SaaS mix; partner wins (Omniverse).,Public infrastructure timing; project delays.,Durable infra software play.,RFP/award → Pilot lines → State/agency rollout → Multi-year SaaS,29-Oct
IQV,IQVIA,Life Sciences Services,CRO/data for pharma; not directly linked to QTS.,Booking trends; AI tools; M&A.,Biopharma budgets; competition.,Defensive CRO exposure.,Bookings ↑ → Backlog convert → Margin expansion → Data/AI attach,29-Oct
APPN,Appian,Low-code + RPA,Low-code process + embedded RPA; Gov/regulated wins.,GTM with partners; FedRAMP deals; AI features.,Competition; sales efficiency.,Higher beta low-code.,Fed/regulated win → Partner delivery → Low-code + RPA expansion,29-Oct
ROK,Rockwell Automation,MES / Connected Worker,FactoryTalk & Plex Connected Worker in MES stack.,SaaS bookings; digital thread wins; partner deals.,Discrete mfg cycles; channel trends.,High-quality industrial software.,MES/Plex consolidation → Connected worker rollout → Analytics KPIs,29-Oct
AOS,A. O. Smith Corporation,PFAS remediation & water tech,Water treatment and heaters with growing PFAS filtration brands; distribution scale.,"EPA PFAS rules adoption, municipal/commercial filtration rollouts, M&A tuck‑ins.","Final rule timing, bid wins, resin/media input costs.",,Municipal PFAS program launches following EPA fall proposals ? mid-Nov starter position; optionality via Jan calls.,4-Oct
A,Agilent Technologies,PFAS remediation & water tech,Lab instrumentation/LC‑MS leader; PFAS testing demand driver across public labs.,"New LC‑MS launches, lab capacity grants, EU restrictions increasing test volume.","Consumables growth, instrument orders, funding cycles.",,"Catalyst path: EPA NPDWR proposal in Fall 2025 + EU restrictions toward 2026 ? municipal compliance budgets (testing, filtration, destruction).",4-Oct
CLH,"Clean Harbors, Inc.",PFAS remediation & water tech,Haz waste leader with PFAS remediation/disposal & services; pricing and scarcity advantages.,"PFAS destruction/containment contracts, incineration and alternative tech scale‑up.","EPA guidance on disposal, contract awards, utilization rates.",,State mandates & disposal contracts; mean-revert spreads vs waste peers on contract prints.,4-Oct
PTC,PTC,PLM/IoT / Connected Worker,Windchill + ThingWorx + Vuforia; strong digital thread story.,SaaS transition progress; large logos; AR use cases.,Macro in discrete mfg; channel strength; FX.,Core enterprise software.,SaaS migration → PLM consolidation → AR work-instructions → Connected worker scale,29-Oct
IBM,International Business Machines Corporation,Quantum computing ,IBM Quantum + consulting for PQC migration; early mover with Heron roadmap and Qiskit.,"Next‑gen chip performance (Heron/Condor), enterprise pilots, PQC services deals post‑NIST FIPS.","Cloud access usage, benchmark publications, migration contracts, ecosystem partnerships.",,"AFRL awards, DARPA benchmarking, and NIST PQC FIPS (203/204/205) with migration timelines drive gov/enterprise spend (quantum systems + crypto-agility).",4-Oct
U,Unity Software,Real-time 3D / Twins,Unity Industry targets manufacturing/robotics twins.,Case studies; new pricing; enterprise penetration.,Game market cyclicality; pricing pushback.,Higher beta; enterprise pivot.,Industry SKU adoption → Enterprise penetration → Services/partner ecosystem,29-Oct
TRMB,Trimble,Reality Capture / Construction,Positioning + construction tech feeding twins.,Civil/infra awards; autonomy/robotics tie-ins.,Construction cycles; hardware margins.,Leverage to infra spend.,Hardware sale → SW workflow attach → Fleet standardization,29-Oct
PATH,UiPath,RPA / AI Agents,Leader in automation/orchestration; expanding AI-native features.,Large enterprise deals; platform launches; partner ecosystem.,Pricing/model shifts; comp from suites.,Core pure-play RPA.,Task mining → Bot deployment → AI/agent orchestration → Enterprise-wide scale,29-Oct
SSNC,SS&C Technologies,RPA via Blue Prism,Deep fin/healthcare customer base; cross-sell automation.,Vertical wins; margin expansion; M&A synergies.,Integration risk; macro in FS clients.,Value + automation exposure.,Blue Prism cross-sell → Process library standardization → Margin expansion,29-Oct
AMBA,Ambarella,Vision SoCs / Edge AI,Camera/auto vision silicon; pushing GenAI features at the edge.,Auto ADAS wins; security/camera demand; new AI SKUs.,Consumer softness; China; customer concentration.,"Higher beta, leveraged to vision.",ADAS/vision win → Ramp with OEMs → New AI SKU attach → Share gains,29-Oct
ARIS,Aris Water Solutions,Water/Infra,Produced water recycling for energy basins.,Volume growth; contracts; regulatory policy.,Commodity activity; execution.,Yield + ESG angle.,Contract award → Recycling volume ↑ → Basin expansions,29-Oct
WTTR,Select Water Solutions,Water/Infra,Water services for energy/critical minerals theme.,Contract wins; pricing; M&A; policy tailwinds.,Commodity cycles; regional demand.,Cash flow + policy optionality.,Contract award → Volume ramp → Policy incentives → FCF,29-Oct
NOW,ServiceNow,Workflow + RPA,Now Platform with embedded RPA & AI; broad distribution.,Release waves; large deals; partner builds.,IT budget cycles; platform competition.,Suite advantage.,Module land → Platform upsell → RPA/AI attach → Enterprise standard,29-Oct
PEGA,Pegasystems,Workflow + RPA ,End-to-end orchestration; AWS AI partnership.,Modernization deals; cloud mix; genAI features.,Sales cycles; execution history.,Event-driven re-rating potential.,Modernize/core → Cloud migration → AI features → NRR uplift,29-Oct
AAPL,Apple,XR Devices ,Vision Pro enterprise pilots for design/training.,New headset updates; enterprise case studies.,Device cadence; price/perf; developer traction.,Hardware-led XR angle.,HW roadmap → Enterprise pilot → Vertical apps → Broader deployment,29-Oct
META,Meta Platforms,XR Devices,Cost-down XR devices; enterprise/consumer mix.,New hardware; enterprise partnerships.,Ad market cyclicality; XR losses.,Optionality in XR adoption.,Cost-down SKU → Enterprise partnerships → Installed base growth,29-Oct
